id,comment,score
UgzydsjShq2RCwo806J4AaABAg,Someone tells the editor that the English sub is still the Jp sub,98.08
UgwYFp_Trde7HZ9aqmF4AaABAg,Please upload youtube music!!!!,96.97
UgyHBmQd9stuzmhSb8R4AaABAg,Another song added to my wedding playlist...,95.0
UgwrUdl6v83KHEa2Df54AaABAg,Bae is her own multiverse. And I'm HERE FOR IT.,92.99
UgxxONj3MyRxek42YVd4AaABAg,live and die for chaos ,92.52
UgxSd5xq-osazEXTAg54AaABAg.9hW3ImLebmR9hW4V0Cm1g2,glad to know it's not just me,91.66
UgzogRTaSaLThRV0Eyx4AaABAg,URASAI ,91.53
UgxFjp_q-iK5rlGgAmR4AaABAg,A shimon song?!?!?!? omg I'm really looking forward to it,91.08
UgxmOggcO7AMYBv1zbt4AaABAg,Anyone got the link for the pic?,91.06
UgwXOw_rT9Ym7R553vp4AaABAg,"B  I  T  E  S
D  A
D  U  S  T  O",90.76
UgyAqn4gh2DHXU10A2Z4AaABAg,Bae's got me feelin things with this cover ohmagawd,90.46
Ugw5_nHf5EihZxgyhsp4AaABAg,another level of Baelz,90.0
